trace_nb;correct_bytes_amp;hd_sum_amp;correct_bytes_phr;hd_sum_phr;correct_bytes_i_augmented;hd_sum_i_augmented;correct_bytes_q_augmented;hd_sum_q_augmented;correct_bytes_recombined;hd_sum_bytes_recombined
10;0;53;0;52;0;51;0;50;0;46
25;0;63;0;55;0;69;0;56;0;63
40;0;66;0;62;0;54;0;53;0;58
55;0;55;0;54;0;54;0;54;0;49
70;0;55;0;64;0;58;0;61;0;59
85;0;56;1;50;0;54;0;60;0;52
100;0;65;1;47;0;58;0;63;0;65
115;0;71;0;52;0;47;0;61;0;66
130;0;61;0;44;0;45;0;61;0;55
145;0;62;0;47;0;48;0;58;0;57
160;0;64;0;41;0;48;0;61;0;55
175;0;55;0;44;0;43;0;60;0;53
190;0;60;1;38;0;47;0;59;0;47
205;1;57;0;40;0;46;0;56;1;47
220;0;58;1;45;0;47;0;56;0;51
235;0;59;1;50;1;46;0;50;0;49
250;1;52;1;47;1;40;0;45;2;46
265;1;49;1;42;1;41;0;48;2;45
280;0;49;1;41;1;39;0;49;0;38
295;0;62;1;40;1;41;0;47;0;47
310;1;57;1;38;1;39;0;48;0;41
325;0;51;0;43;2;39;0;46;0;40
340;0;54;0;45;0;45;0;39;0;39
355;0;55;0;44;0;44;0;41;0;49
370;0;54;1;39;1;42;0;38;0;42
385;0;55;1;42;2;35;0;42;0;42
400;0;57;1;38;2;37;0;41;0;41
415;0;61;1;43;2;38;1;49;0;53
430;1;53;1;42;1;40;1;47;0;46
445;1;45;1;42;1;45;1;51;0;46
460;0;48;1;42;1;44;0;47;1;46
475;0;40;0;45;2;40;0;48;0;42
490;0;39;1;42;1;40;1;45;1;40
505;0;39;1;43;1;39;1;49;1;39
520;1;39;1;43;1;35;2;40;1;38
535;1;37;1;42;2;32;1;48;0;36
550;1;38;1;40;2;30;1;48;2;33
565;0;48;1;43;2;28;1;47;1;37
580;0;49;1;45;3;27;2;44;1;39
595;0;43;1;45;2;27;1;47;1;35
610;0;36;1;41;2;29;1;43;1;29
625;2;32;1;44;2;27;2;39;2;28
640;1;35;1;47;2;27;2;40;1;32
655;2;33;1;41;2;29;1;43;1;31
670;2;35;1;43;1;33;1;44;1;33
685;2;36;1;42;2;31;1;45;1;36
700;3;36;1;43;2;34;2;39;1;33
715;3;37;1;41;2;36;2;42;2;33
730;4;35;1;45;2;36;2;42;2;36
745;4;35;1;43;3;34;2;41;3;33
760;3;35;1;42;3;35;3;37;3;34
775;3;38;1;41;4;29;3;34;3;31
790;4;32;1;45;4;29;2;36;1;32
805;5;35;1;45;4;25;2;40;3;36
820;5;35;1;42;3;26;3;39;3;35
835;4;32;1;45;3;26;3;41;3;35
850;4;35;1;46;3;26;3;40;2;39
865;3;33;1;47;3;29;3;36;3;37
880;3;34;2;44;3;27;3;35;4;35
895;3;37;1;46;4;23;3;34;3;33
910;3;37;2;44;3;28;2;40;3;39
925;3;30;1;48;3;27;3;37;3;35
940;2;30;1;46;3;28;3;35;4;29
955;3;35;1;45;4;23;3;33;2;33
970;3;35;1;43;4;24;2;35;3;28
985;3;38;1;41;4;26;2;35;4;30
1000;3;33;1;41;4;24;3;30;3;28
1015;3;33;1;40;4;21;2;35;3;27
1030;3;28;1;38;4;21;4;27;6;17
1045;3;32;1;39;4;19;2;32;3;27
1060;3;27;1;38;4;22;3;31;3;24
1075;3;32;1;36;4;25;2;38;3;26
1090;3;34;1;36;4;26;2;35;4;24
1105;3;32;2;33;4;23;2;36;4;26
1120;3;32;1;36;3;23;3;36;2;28
1135;2;33;1;34;3;26;2;33;2;28
1150;2;35;1;34;3;30;1;36;2;32
1165;1;32;1;34;3;30;2;31;3;27
1180;1;32;1;34;4;28;1;37;3;28
1195;1;32;1;34;3;26;1;37;3;28
1210;1;33;1;34;4;24;1;39;3;27
1225;2;31;1;34;3;25;1;36;2;25
1240;2;31;1;36;4;27;1;35;2;26
1255;2;31;1;36;2;32;3;28;3;22
1270;1;31;1;36;2;32;2;34;2;26
1285;1;25;1;34;1;36;2;37;1;26
1300;1;25;1;36;2;31;2;38;1;26
1315;1;25;1;37;1;32;2;39;2;25
1330;1;25;1;35;2;29;1;41;1;26
1345;1;30;1;35;2;28;2;39;2;27
1360;1;30;1;35;2;28;2;37;2;26
1375;1;30;1;38;2;28;3;37;2;25
1390;1;31;1;38;2;28;4;32;2;25
1405;0;32;1;38;2;30;3;31;2;27
1420;0;28;1;37;3;27;4;30;2;24
1435;0;27;1;38;2;29;4;27;2;20
1450;0;26;1;37;2;25;4;28;3;19
1465;0;29;2;36;2;29;4;28;3;21
1480;0;28;1;39;1;28;3;33;2;22
1495;0;28;1;39;2;25;2;32;1;24
1510;0;30;2;38;2;25;3;30;1;25
1525;0;27;2;38;2;27;3;28;1;23
1540;0;28;2;38;1;28;3;30;2;21
1555;0;30;2;38;1;29;3;32;2;24
1570;0;30;2;38;1;29;3;32;1;25
1585;0;30;2;38;2;26;3;30;2;24
1600;0;30;1;39;1;29;3;31;2;23
1615;0;28;1;39;1;28;3;28;1;22
1630;0;28;1;39;1;28;3;29;1;22
1645;0;28;1;39;2;24;3;30;1;22
1660;0;28;1;39;1;24;3;32;1;22
1675;0;24;1;31;2;24;3;32;2;18
1690;0;27;1;32;2;24;3;34;1;22
1705;0;33;2;30;2;24;3;34;2;21
1720;0;27;1;32;2;24;3;30;1;19
1735;0;27;2;30;2;24;4;33;1;19
1750;0;27;2;30;2;23;4;28;1;19
1765;0;27;1;31;2;25;4;28;1;19
1780;0;28;2;28;2;23;3;29;2;18
1795;0;29;2;28;2;24;4;28;2;19
1810;0;28;2;28;1;24;3;29;2;20
1825;0;22;2;28;2;23;3;31;1;21
1840;0;25;2;30;1;23;3;31;2;19
1855;0;21;2;29;2;22;3;31;1;20
1870;0;21;2;30;2;22;3;31;1;20
1885;0;22;2;30;2;22;3;31;1;20
1900;0;22;2;30;2;22;3;31;1;20
1915;0;20;2;31;2;22;3;31;1;19
1930;0;22;2;31;1;23;3;31;1;19
1945;0;27;1;30;2;22;3;31;2;18
1960;0;28;1;30;2;22;2;32;2;18
1975;0;25;1;30;2;22;2;30;2;18
1990;0;27;1;30;2;22;2;29;3;17
2005;0;27;1;30;1;23;2;29;3;17
2020;0;33;1;31;1;23;2;32;3;21
2035;0;30;1;31;1;23;2;31;2;22
2050;0;29;1;31;1;23;2;30;1;22
2065;0;33;1;30;1;22;2;31;2;23
2080;0;29;2;29;1;22;2;32;2;20
2095;0;28;2;29;0;24;2;31;1;22
2110;0;28;2;29;1;22;2;29;2;21
2125;0;28;1;30;1;22;2;29;2;21
2140;0;28;1;30;1;22;2;29;2;21
2155;0;29;2;28;1;22;1;30;2;21
2170;0;32;1;26;1;22;1;30;1;22
2185;0;29;1;30;1;22;2;27;2;21
2200;0;28;1;29;1;22;2;26;1;22
2215;0;30;1;33;1;22;2;25;1;22
2230;0;27;1;29;2;21;3;28;1;21
2245;0;27;1;33;2;21;3;28;1;21
2260;0;27;1;29;2;20;2;30;1;21
2275;0;23;1;27;2;20;3;27;2;19
2290;0;23;1;24;1;23;3;29;1;19
2305;0;28;1;26;1;22;3;27;1;21
2320;0;27;1;25;2;21;2;28;1;20
2335;0;21;1;27;2;21;2;25;2;18
2350;0;21;1;29;2;21;2;25;1;20
2365;0;25;1;25;2;22;2;24;2;20
2380;0;25;1;23;2;21;3;23;2;20
2395;0;30;1;23;2;21;3;23;1;22
2410;0;24;1;22;2;22;2;24;2;19
2425;0;23;1;23;2;21;3;26;2;19
2440;0;24;1;22;2;20;2;29;2;20
2455;0;24;1;21;2;18;2;27;1;21
2470;0;24;2;20;2;18;3;26;1;21
2485;1;22;2;23;1;19;3;26;3;19
2500;0;26;2;19;2;17;1;28;2;22
2515;0;26;1;22;2;17;2;27;2;22
2530;0;26;1;21;2;17;2;28;2;21
2545;1;25;2;23;2;17;3;23;3;18
2560;1;25;1;22;2;17;3;28;3;19
2575;1;23;1;21;2;17;3;26;3;16
2590;1;22;0;25;2;18;2;32;3;20
2605;1;22;0;25;2;18;2;29;3;19
2620;0;26;1;24;2;18;2;27;1;20
2635;0;27;0;22;2;18;2;24;0;20
2650;1;26;1;21;2;17;2;27;3;17
2665;0;27;1;21;2;18;2;26;2;19
2680;1;26;1;21;2;18;2;30;4;19
2695;1;26;1;21;2;18;2;30;4;19
2710;1;26;1;21;2;18;2;32;4;19
2725;1;21;1;21;1;20;2;28;3;18
2740;1;21;1;21;1;20;2;30;2;20
2755;1;21;0;25;1;20;2;30;2;21
2770;1;21;1;21;1;20;2;28;2;21
2785;0;22;1;21;2;18;2;28;1;21
2800;1;21;1;24;2;17;2;28;2;20
2815;0;22;1;19;2;17;2;28;1;20
2830;0;22;1;19;2;17;1;29;1;20
2845;0;22;1;20;2;17;1;29;1;21
2860;1;21;1;22;2;17;0;32;1;20
2875;1;21;0;24;1;19;2;30;2;21
2890;1;21;1;22;1;21;2;30;2;21
2905;1;21;2;19;1;21;1;33;1;23
2920;1;23;3;17;1;21;1;31;2;20
2935;2;20;3;17;1;21;1;32;1;21
2950;1;21;3;17;1;21;1;29;2;19
2965;0;27;3;17;1;21;2;28;3;18
2980;2;20;4;16;1;21;1;29;3;18
2995;2;20;2;18;1;22;1;29;3;18
3010;1;22;3;20;0;24;2;29;2;23
3025;1;23;3;20;0;23;2;29;3;22
3040;0;23;3;20;0;24;2;29;1;24
3055;1;26;3;20;0;23;1;30;2;22
3070;1;26;3;20;0;24;1;25;2;20
3085;1;25;3;18;0;23;0;28;1;19
3100;0;27;4;15;0;25;1;32;2;21
3115;1;26;2;19;0;23;1;33;1;23
3130;1;26;3;16;0;23;2;25;2;19
3145;2;25;2;19;0;23;1;27;2;20
3160;2;24;2;19;0;23;1;27;2;20
3175;0;24;2;19;0;23;1;27;1;19
3190;0;24;2;18;0;23;0;28;1;18
3205;1;23;2;19;0;23;0;28;2;18
3220;1;23;2;19;1;21;0;28;2;18
3235;1;23;2;17;1;21;0;28;2;17
3250;1;19;2;17;1;21;0;28;2;17
3265;1;19;2;20;0;22;0;28;2;17
3280;1;19;2;19;0;22;0;33;2;17
3295;1;19;3;18;0;22;0;33;3;16
3310;1;19;2;19;1;20;0;33;3;16
3325;1;19;2;20;0;22;0;33;2;17
3340;1;19;1;23;0;22;0;33;2;18
3355;1;19;1;24;0;22;1;27;2;18
3370;1;19;1;24;0;22;1;25;2;18
3385;1;23;1;24;1;20;1;27;2;17
3400;1;23;1;24;2;21;2;25;3;16
3415;1;23;1;24;1;22;2;27;4;15
3430;1;19;1;23;2;21;2;29;4;15
3445;1;19;3;19;2;19;2;24;4;15
3460;1;19;2;19;2;19;2;24;4;16
3475;1;19;2;19;0;24;2;24;4;14
3490;1;19;1;21;0;22;2;24;3;16
3505;1;19;1;23;0;24;2;24;4;16
3520;1;19;1;23;0;25;2;24;4;17
3535;1;19;2;22;0;24;2;24;4;17
3550;1;19;2;21;0;24;2;24;4;16
3565;1;19;2;21;1;22;2;25;4;15
3580;1;19;2;21;0;24;2;24;4;16
3595;1;20;2;22;1;21;2;22;2;18
3610;1;20;2;20;1;20;2;23;2;18
3625;1;20;2;20;1;22;2;23;3;17
3640;1;20;2;20;2;20;2;22;3;16
3655;1;20;2;20;2;21;2;22;3;17
3670;1;20;2;20;2;21;2;22;3;17
3685;1;20;2;20;2;20;2;30;3;16
3700;1;20;2;20;2;20;2;25;3;16
3715;1;20;2;21;2;21;2;25;3;16
3730;2;19;2;21;2;21;2;25;3;16
3745;2;19;2;21;2;19;2;25;2;17
3760;2;19;2;21;2;20;2;23;2;18
3775;2;19;2;20;2;20;2;25;2;18
3790;2;19;2;21;2;20;2;24;2;18
3805;2;19;2;21;2;22;1;25;3;17
3820;2;19;2;21;2;21;1;25;3;16
3835;2;19;2;21;2;21;1;25;3;16
3850;2;19;2;21;2;21;1;25;3;16
3865;2;19;2;21;2;21;2;22;3;16
3880;2;19;2;21;2;21;1;25;3;16
3895;2;19;2;21;2;20;1;25;3;16
3910;2;19;3;20;2;19;1;25;2;18
3925;2;18;3;20;3;18;1;25;3;16
3940;2;18;3;20;3;21;1;26;4;16
3955;2;19;3;20;3;21;1;25;4;16
3970;1;19;3;20;3;20;1;27;4;15
3985;1;20;3;20;3;20;1;27;3;16
